County,Location Name,Address,Notes,Hours,Latitude,Longitude
Gwinnett,Dacula Library,"265 Dacula Road Dacula, GA 30019 ",,,33.9942225,-83.8990191
Gwinnett,Hamilton Mill Library,"3690 Braselton Highway Dacula, GA 30019 ",,,34.0694822,-83.9024749
Gwinnett,Collins Hill Library,"455 Camp Perrin Road Lawrenceville, GA 30043 ",,,34.0154735,-84.0022821
Gwinnett,Buford-Sugar Hill Library,"2100 Buford Highway Buford, GA 30518 ",,,34.1105116,-84.0000921
Gwinnett,Suwanee Library,"361 Main Street Suwanee, GA 30024 ",,,34.0576444,-84.0672021
Gwinnett,Duluth Library,"3840 Duluth Park Lane Duluth, GA 30096 ",,,34.0011438,-84.1596078
Gwinnett,Peachtree Corners Library,"5570 Spalding Drive Peachtree Corners, GA 30092 ",,,33.9695118,-84.2243393
Gwinnett,Norcross Library,"6025 Buford Highway Norcross, GA 30071 ",,,33.9345278,-84.2179579
Gwinnett,Lilburn Library,"4817 Church Street NW Lilburn, GA 30047 ",,,33.8921392,-84.1389273
Gwinnett,Mountain Park Library,"1210 Pounds Road Lilburn, GA 30047 ",,,33.8472957,-84.1203004
Gwinnett,Centerville Library,"3025 Bethany Church Road Snellville, GA 30039 ",,,33.8168294,-84.0495336
Gwinnett,Snellville Library,"2740 Lenora Church Road Snellville, GA 30078 ",,,33.8444748,-84.0128178
Gwinnett,Grayson Library,"700 Grayson Parkway Grayson, GA 30017 ",,,33.8885986,-83.9635945
Habersham,,"130 Jacob's Way, Ste 101 Clarkesville, GA 30523 ",Note: This Dropbox may not be open 24/7,Drop off in person at office,34.6065025,-83.505455
Hall,County Government Center,"2875 Browns Bridge Rd Gainesville, GA 30504 ",,"The box is located in front of the Government Center so that people can drive up, left lane under overhang and drop in the ballot 24/7",34.2776013,-83.8770372
Hall,Chicopee Woods Agricultural Center Activity Hall,"1855 Calvary Church Rd. Gainesville, GA 30507 ",Note: This Dropbox may not be open 24/7,"Secure metal dropboxes inside to drop ballots and applications from October 12-30 (M-F), and Saturday, October 24 7am-7pm",34.2390953,-83.8200754
Hall,City of Gainesville Downtown Building (old Turner Wood and Smith building),"100 Brenau Ave. Gainesville, GA 30501 ",Note: This Dropbox may not be open 24/7,"Secure metal dropboxes inside to drop ballots and applications from October 12-30 (M-F), and Saturday, October 24 7am-7pm",34.3007874,-83.8281006
Hall,East Hall Community Center,"3911 P. Davidson Rd. Gainesville, GA 30507 ",Note: This Dropbox may not be open 24/7,"Secure metal dropboxes inside to drop ballots and applications from October 12-30 (M-F), and Saturday, October 24 7am-7pm",34.3185624,-83.7364324
Hall,Mulberry Creek Community Center,"4491 J.M. Turk Rd. Flowery Branch, GA 30542 ",Note: This Dropbox may not be open 24/7,"Secure metal dropboxes inside to drop ballots and applications from October 12-30 (M-F), and Saturday, October 24 7am-7pm",34.1837656,-83.8760435
Hall,Mundy Mill Precinct,"4335 Mundy Mill Road Oakwood, GA 30566 ",Note: This Dropbox may not be open 24/7,"Secure metal dropboxes inside to drop ballots and applications from October 12-30 (M-F), and Saturday, October 24 7am-7pm",34.2516652,-83.8911131
Hall,Murrayville Library,"4796 Thompson Bridge Rd. Gainesville, GA 30506 ",Note: This Dropbox may not be open 24/7,"Secure metal dropboxes inside to drop ballots and applications from October 12-30 (M-F), and Saturday, October 24 7am-7pm",34.4016618,-83.8911545
Hall,North Hall Community Center,"4175 Nopone Rd. Gainesville, GA 30506 ",Note: This Dropbox may not be open 24/7,"Secure metal dropboxes inside to drop ballots and applications from October 12-30 (M-F), and Saturday, October 24 7am-7pm",34.4056889,-83.7980159
Hall,Spout Springs Library,"6488 Spout Springs Rd. Flowery Branch, GA 30542 ",Note: This Dropbox may not be open 24/7,"Secure metal dropboxes inside to drop ballots and applications from October 12-30 (M-F), and Saturday, October 24 7am-7pm",34.1522456,-83.894341
Hancock,,"9091 East Broad Street, P.O. Box 118 Sparta, GA 31087 ",,,33.275867,-82.9698768
Haralson,Haralson County Courthouse,"4485 Ga. Hwy 120 Buchanan, GA 30113 ",Note: This Dropbox may not be open 24/7,Metal box in lobby on the left in front of security office. Avail 8:30-5:00 M-F. Courthouse is located near Veterans Park on Hwy 120 near Hwy 27,33.8020262,-85.1817572
Harris,Board of Elections,"104 N. College St. Hamilton, GA 31811 ",,Drop ballots and apps 24/7 on porch in slot on wall of building. Ballots fall into container in office of registrar. Elections Office is next to courthouse in town.,32.7584146,-84.8748921
Hart,Elections Office,"182 Cade Street, Suite B Hartwell, GA 30643 ",,"outside, 24-7; in front of Elections Office door, across from hospital (green box with white lid)",34.3468124,-82.9404506
Hart,Hart County Library (Basement),"150 Benson Street Hartwell, GA 30643 ",,"Indoors, M-F 8 AM- 5PM thru October 30th, and Saturday Oct. 24th 9AM-4 PM] (same location as early voting)",34.3497926,-82.930786
Heard,Elections Office,"215 East Court Sq. Franklin, GA 30217 ",Note: This Dropbox may not be open 24/7,"Ballots and Applications accepted. Open M-F, 8:30-5.  Drive to curb on the backside of the courthouse and employee will come out to get your ballot (they see drivers pull up). No need to get out of car. Ballot immediately processed (not tallied) and placed in lock box in office- voter can confirm on My Voter Page.",33.2793166,-85.0979229
Henry,Henry County Elections and Registration Office,"40 Atlanta St. McDonough, GA 30253 ",,Outside 24-7. In front of Elections Office front door. Can submit applications and ballots,33.4489186,-84.1477595
Houston,Houston County Annex,"200 Carl Vinson Pkwy Warner Robins, GA 31088 ",Note: This Dropbox may not be open 24/7,Lobby (8:30 a.m. – 5:00 p.m. M-F and Election Day 7:00 a.m. – 7:00 p.m.),32.5967344,-83.6638884
Houston,Board of Elections,"801 Main St. Perry, GA 31069 ",Note: This Dropbox may not be open 24/7,Lobby (8:00 a.m. – 5:00 p.m. M-F and Election Day 7:00 a.m. – 7:00 p.m.),32.4578075,-83.7338179
Houston,Houston Health Pavilion Conference Center - Cary W. Martin Conference Center,"233 N. Houston Road Warner Robins, GA 31093 ",,"8:00 am – 5:00 pm. M-F, and Election Day 7:00 am – 7:00 pm",32.6203105,-83.6434882
Irwin,,"507-C North Irwin Ave Ocilla, GA 31774 ",,"Dropbox in front of Elections Office; Outdoor, 24-7; monitored",31.5996897,-83.2503587
Jackson,County Elections Office (outside),"441 Gordon Street Jefferson, GA 30549 ",,,34.112299,-83.5679428
Jackson,Nicholson City Hall,"5488 US 441 S Nicholson, GA 30565 ",,"Outside, 24/7",34.1075006,-83.4351521
Jackson,"West Jackson Fire Dept, Station 1","69 W Jackson Road Braselton, GA 30517 ",,"Outside, 24/7",34.1054644,-83.760981
Jasper,Courthouse,"126 W Greene St, Ste. #3 Monticello, GA 31064 ",,"Outdoor, 24-7.  In alley between courthouse and Five Loaves Restaurant.  Can drop into box from passenger side of the car, or walk up to box. Second location is in the door near front of Registrar's Office; ballots drop into a locked box",33.3049052,-83.6836647
Jeff Davis,,"14 Jeff Davis Street, Ste. 107 Hazlehurst, GA 31539 ",,"Outside Courthouse, 24-7",31.8626007,-82.6008108
Jefferson,Elections Office,"415 Green Street Louisville, GA 30434 ",Note: This Dropbox may not be open 24/7,"Outdoor dropoff (24-7): Mailslot in front door, ballots drop into locked box; Inside dropoff: M-F, 8-5 (Applications and Ballots accepted.)",32.9982877,-82.4097651
Jefferson,Wrens City Hall ,"401 Broad St Wrens, GA 30833 ",,"Outside, 24/7",33.2091385,-82.3850704
Jefferson,Wadley City Hall,"37 Butts Street Wadley, GA 30477 ",,"Outside, 24/7",32.8629072,-82.4047652
Jenkins,"Elections Office, Courthouse","611 E. Winthrope Ave. Millen, GA 30442 ",Note: This Dropbox may not be open 24/7,"Come in the back door of the courthouse. Submit at a table set up there. M-F, 8-5",32.8043101,-81.939111
Johnson,Elections Office,"2484 W. Elm St. Wrightsville, GA 31096 ",Note: This Dropbox may not be open 24/7,"Inside, M-F, 8-4:30",32.7291961,-82.7216898
Jones,Government Center,"166 Industrial Blvd. Gray, GA 31032 ",,"Touchless white security box, 24-7 security, outside right side of building.",33.0213405,-83.5347772
Lamar,,"408 Thomaston Street Suite D Barnesville, GA 30204 ",,Drop off inside office or outside in the drop box,33.0513786,-84.1566606
Lanier,Elections Office,"162 W. Thigpen Ave. Lakeland, GA 31635 ",,Dropbox outside 24/7,31.0421464,-83.0900108
Laurens,Registar's Office,"117 E Jackson Street, Ste. A Dublin, GA 31021 ",,"Across from Courthouse, drop boxes outside 24/7",32.5402224,-82.9038138
Lee,Elections Office,"100 Starksville Avenue North, Suite C Leesburg, GA 31763 ",,24/7 outside office,31.7317509,-84.1676091
Liberty,Liberty County Elections Board,"100 N. Main St., Suite 1600 Hinesville, GA 31313 ",,"Outside elections office, around the corner to the right on Midway Street across from German Restaurant, 24/7; Can also leave at office M-F, 8-5",31.847577,-81.5958405
Liberty,Midway City Hall,"41 Charlie Butler Avenue Midway, GA 31320 ",,24/7,31.7820055,-81.3951491
Lincoln,Lincoln Center,"160 May Ave Lincolnton, GA 30817 ",,"Dropbox outside 24/7, no person-to-person contact",33.7871374,-82.4761641
Long,Elections Office,"459 S McDonald St Ludowici, GA 31316 ",,"24hr with camera, outside the building",31.7077673,-81.7415048
Lowndes,,"2808 N. Oak St Valdosta, GA 31601 ",,"24/7 cameras, outside of building",30.870364,-83.2926145
Lumpkin,,"56 Short Street Dahlonega, GA 30533 ",,"Outside the front door, but only open when the office is open. M-F 8a-5p, open 7-7 on 11/3",34.5345622,-83.9816648
Macon,Elections Office,"100 Macon St. Oglethorpe, GA 31068 ",,"Outside, 24/7, with camera",32.2949872,-84.0597308
Madison,County Board of Elections Office,"94 Spring Lake Drive, P.O. Box 328 Danielsville, GA 30633 ",,"Outside, 24/7, with camera",34.1242771,-83.2212629
Marion,Elections Office,"100 E. Burkhalter Ave Buena Vista, GA 31803 ",,24-7 outside,32.3236113,-84.5178695
McDuffie,Elections Office,"337 Main Street, Suite 101 Thomson, GA 30824 ",,"Outside, 24/7, with camera",33.4697167,-82.5048414
McDuffie,Dearing Community Center,"4614 Augusta highway Dearing, GA 30808 ",,"Outside, 24/7, with camera",33.4129757,-82.3844481
McIntosh,,"103 Jefferson St Darian, GA 31305 ",,,31.3714463,-81.4336597
Meriwether,Elections Office,"137 South Court Square Greenville, GA 30222 ",Note: This Dropbox may not be open 24/7,"Deliver inside office, 8:30 - 5:00 M-F",33.0279407,-84.7132083
Miller,Courthouse,"155 South 1st Street Colquitt, GA 39837 ",Note: This Dropbox may not be open 24/7,"Inside, 9:00-5:00 M-F",31.1717442,-84.7339233
Mitchell,Board of Elections,"32 North Court Street Camilla, GA 31730 ",,,31.2304528,-84.2025988
Mitchell,Courthouse,"214 N. Harney St. Camilla, GA 31730 ",,,31.2377122,-84.2088341
Monroe,TAG Office,"38 West Main Street Forsyth, GA 31029 ",,"Drive through access, may also dropoff inside office",33.0339594,-83.9396504
Montgomery,Courthouse,"400 South Railroad Ave. Mt. Vernon, GA 30445 ",Note: This Dropbox may not be open 24/7,"Inside, ADA compliant 8:30 - 5:00 M-F",32.1742409,-82.5946873
Morgan,,"434 Hancock St Madison, GA 30650 ",,24/7,33.5967978,-83.4651337
Murray,Murray County Annex Building,"121 N. 4th Ave. Chatsworth, GA 30705 ",,"Building is behind the courthouse, drop box built into the brick wall: ADA compliant",34.7670651,-84.7714564
Muscogee,Citizens Service Center,"3111 Citizens Way Columbus, GA 31906 ",,"One box at Main entrance, one drive up box",32.4764568,-84.9455123
Muscogee,Frank D. Chester Recreation Center,"1441 Benning Dr Columbus, GA 31903 ",,,32.4260548,-84.9457794
Muscogee,Columbus Health Department Building,"5601 Veterans Pkwy Columbus, GA 31904 ",,,32.5249867,-84.9634203
Newton,Newton County Administration Building,"1113 Usher St. Covington, GA 30014 ",Note: This Dropbox may not be open 24/7,"Park in the parking deck, and the dropbox is outside the back entrance of the Administration Building. At the top of the steps by handicap parking and ramp. Applications and ballots may be dropped off inside the office at this location - Hours: 8:00-5:00, Mon-Fri. Enter through either entrance. Applications for ballots can be left in this box.",33.5978834,-83.8589655
Newton,West Side Precinct Sherriff's Office,"3612 Salem Road Covington, GA 30016 ",,"INSIDE, 8-4:30, M-F",33.5940348,-83.970284
Oconee,Board of Elections Office,"10 Court St Watkinsville, GA 30677 ",,"Next to the Courthouse: for applications and ballots, with 24/7 surveillance. Box checked three times daily",33.9416194,-83.4451454
Oglethorpe,Elections Office,"41 Fairground Road Lexington, GA 30648 ",,"""Mail Slot"" in wall, available 24/7",33.88979,-83.101717
Paulding,Hiram City Hall/Police Station,"217 Main St. Hiram, GA 30141 ",,Drop box OUTSIDE 24/7,33.8760132,-84.7608518
Paulding,Elections Office,"240 Constitution Blvd. Dallas, GA 30132 ",,"Outside the Administration Bldg., which is part of the Watson Government Complex and Courthouse, facing the clock tower. OUTSIDE Dropbox with security 24/7",33.9171274,-84.8475077
Paulding,Crossroads Public Library,"909 Harmony Grove Church Road Acworth, GA 30101 ",,"Outside, 24/7",34.0505524,-84.7790009
Peach,Courthouse,"205 W Church St, Suite 102 Fort Valley, GA 31030 ",Note: This Dropbox may not be open 24/7,"Inside: 8-5 M-F; Sat. 10/24, 9-4",32.5533714,-83.8880912
Peach,Byron Sheriff's Dept,"401 Main St Byron, GA 31008 ",Note: This Dropbox may not be open 24/7,INSIDE 8-5 M-F,32.6541746,-83.762032
Pickens,Elections Office,"83 Pioneer Road Jasper, GA 30143 ",,"Outside, 24/7",34.4706207,-84.4275446
Pierce,"Elections Office, Pierce County Courthouse-Annex II (1)","312 Nichols St, Suite 2 Blackshear, GA 31516 ",Note: This Dropbox may not be open 24/7,"Dropbox is right INSIDE glass entry doors, Hours: 8-5 M-F, and Sat. Oct. 24, 08:30-5. Can drop both Applications and Ballots in box.",31.3036522,-82.2339661
Pierce,"Elections Office, Pierce County Courthouse-Annex II (2)","312 Nichols St, Suite 2 Blackshear, GA 31516 ",,Dropbox is outside main entrance to building,31.3036522,-82.2339661
Pike,Board of Elections/Registrar's Office,"81 Jackson St Zebulon, GA 30295 ",,"Dropbox OUTSIDE, 24/7 for Ballots only",33.103071,-84.342514
Polk,,"144 West Avenue, Ste D Cedartown, GA 30125 ",,,34.0114711,-85.2564811
Pulaski,Courthouse Annex,"45 S. Lumpkin St. Hawkinsville, GA 31036 ",,The drop box is at the front of the Courthouse Annex under the canopy.,32.2823821,-83.4689397
Putnam,Courthouse building (1),"100 S Jefferson Ave Eatontown, GA 31024 ",Note: This Dropbox may not be open 24/7,"In the hallway outside the elections office, M-F, 8-5",33.3258952,-83.3886625
Putnam,Courthouse building (2),"100 S Jefferson Ave Eatontown, GA 31024 ",,"On the backside of the building, near handicap ramp - 24/7",33.3258952,-83.3886625
Quitman,Probate court,"46 Old School Rd Georgetown, GA 39854 ",,"Fastened to wall outside building, 24/7",31.884605,-85.1074308
Rabun,Elections Office,"18 Old Raca High Drive, Suite 105 Clayton, GA 30525 ",,"On covered porch outside; one box for applications, one box for ballots, available 24/7",34.8794372,-83.4040076
Randolph,Elections Office,"93 Front Street Cuthbert, GA 39840 ",Note: This Dropbox may not be open 24/7,"2 separate chutes on a wall inside the office - one for applications and one for ballots; M-F, 8-5 and 10/24/20 during early voting",31.7667191,-84.7868807
Richmond,Warren Road Recreation Center,"300 Warren Rd. Augusta, GA 30907 ",,24/7,33.5062214,-82.0576963
Richmond,Henry Brigham Community Center,"2463 Golden Camp Road C Augusta, GA 30906 ",,24/7,33.4297233,-82.0519763
Richmond,Diamond Lakes Regional Park,"4335 Windsor Spring Rd. Hephzibah, GA 30815 ",,24/7,33.3532051,-82.0938189
Richmond,Municipal Building,"535 Telfair St. Augusta, GA 30901 ",,24/7,33.4712263,-81.9617403
Rockdale,Rockdale County Board of Elections Office,"1261 Commercial Drive SW Suite B Conyers, GA 30094 ",,Outside the door to the election commission office,33.6572916,-84.0216883
Rockdale,,"778 Bell Road Conyers, GA 30094 ",,"Outside firestation, 24/7",33.564003,-84.0210591
Rockdale,,"2450 Old Salem Road Conyers, GA 30013 ",,"Outside firestation, 24/7",33.6239351,-83.9964351
Rockdale,,"3601 Union Church Road Stockbridge, GA 30281 ",,"Outside firestation, 24/7",33.5936536,-84.138175
Rockdale,,"2100 West Hightower Trail Conyers, GA 30012 ",,"Outside firestation, 24/7",33.7332243,-83.9762037
Rockdale,,"2681 Hurst Road Conyers, GA 30094 ",,"Outside firestation, 24/7",33.6622311,-84.0762423
Rockdale,,"1496 Rockbridge Road Conyers, GA 30012 ",,"Outside firestation, 24/7",33.6824686,-84.0305383
Rockdale,,"2009 Walker Road Conyers, GA 30094 ",,"Outside firestation, 24/7",33.6209239,-84.0536209
Schley,,"47 N Pecan Street Ellaville, GA 31806 ",,,32.2387093,-84.310852
Screven,Screven County Courthouse,"216 Mims Road, Rm 114 Sylvania, GA 30467 ",,"Dropbox located at the back of the Commissioner's Office down the driveway between the Police Station and the Courthouse, available 24/7",32.7509161,-81.6451742
Seminole,Probate Office,"200 S Knox Ave Donalsonville, GA 39845 ",,,31.0418397,-84.884838
Spalding,,"825 Memorial Drive Griffin, GA 30223 ",,"Outside the courthouse, available 24/7",33.2443807,-84.2496589
Stephens,,"127 E Tugalo St Toccoa, GA 30577 ",,"In front of Stephens County Government Building, which faces Alexander St. Attached to a white column on the front of the building.  Right next to City Hall, 24/7",34.5805301,-83.3279544
Stewart,,"1764 Broad Street Lumpkin, GA 31815 ",,,32.0505732,-84.7944945
Sumter,Courthouse,"500 W. LaMar Street Americus, GA 31709 ",,,32.0718729,-84.2393224
Talbot,,"141 N Jefferson Ave Talbotton, GA 31827 ",,,32.679648,-84.5413646
Talbot,,"188 Jackson Ave Talbotton, GA 31827 ",,24/7,32.6773398,-84.5391822
Taliaferro,Elections Office,"113 Monument St Crawfordville, GA 30631 ",Note: This Dropbox may not be open 24/7,"Hand to person behind counter M-F, 8-5",33.5546191,-82.8965931
Tattnall,Elections Office,"114 West Brazell St Reidsville, GA 30453 ",,"Outside, behind building in parking lot, easy access, like a mailbox, 24/7",32.0861946,-82.1189322
Taylor,,"1B Ivy Street Butler, GA 31006 ",,"Box attached to wall next to front door from street, 24/7",32.556902,-84.2364351
Telfair,Elections Office,"19 East Oak St Annex Bldg 3 (modular) McCrae-Helena, GA 31055 ",Note: This Dropbox may not be open 24/7,"Slot in front door, M-F, 8-5, Closed 12-1 for lunch. Outside door of the elections office has a slot in it to drop the ballot. 24/7",32.0671003,-82.8965706
Terrell,,"955 Forrester Drive SE Dawson, GA 39842 ",,Slot in fiberglass wall next to outside door with instructions 24/7,31.7597886,-84.4366198
Thomas,Outside Elections Office,"1402 E Jackson St Thomasville, GA 31792 ",,"Next to outside front door, parking 10 ft away 24/7; second box in the front of the parking lot, drive by format",30.8526813,-83.9573509
Tift,Elections Office,"222 Chestnut Ave, Building B Tifton, GA 31794 ",Note: This Dropbox may not be open 24/7,"Ground Floor, Gym of old High School M-F, 8-5, Next to door of elections office in lobby",31.4632162,-83.5029248
Tift,Charles Kent Admin Building,"225 Tift Ave Tifton, GA 31794 ",,"Outside front door, 24/7",31.4547345,-83.5065856
Toombs,Elections Office,"125 W. Lincoln Ave Lyons, GA 30436 ",Note: This Dropbox may not be open 24/7,"Hand to person over counter, M-F, 8:30-5 PM",32.2083869,-82.3236394
Towns,Elections Office,"67 Lakeview Circle, Suite A Hiawassee, GA 30546 ",,Box is outside the door and available 24/7,34.94618,-83.7570263
Treutlen,County Voter Registration Office,"650 Second St. Soperton, GA 30457 ",Note: This Dropbox may not be open 24/7,"Inside office, M-F, 8 to 5 pm",32.3767967,-82.5925252
Troup,Elections Office,"100 Ridley Ave LaGrange, GA 30240 ",,"Box outside elections office door, available 24/7",33.0403048,-85.0301668
Troup,Hogansville Police Department,"117 Lincoln Street Hogansville, GA 30230 ",,Available 24/7,33.1688566,-84.9006269
Troup,City Hall,"730 1st Ave West Point, GA 31833 ",,Available 24/7,32.87628,-85.181915
Turner,Elections Board,"1807 US-41 Sycamore, GA 31790 ",,Box is on front porch available 24/7,31.6830553,-83.6414309
Twiggs,Elections Office,"425 Railroad St N Jeffersonville, GA 31044 ",Note: This Dropbox may not be open 24/7,"Located inside the Courthouse, black secured box with security guards, M-F, 9-5",32.6877273,-83.3455786
Union,Elections Office,"65 Courthouse St. Blairsville, GA 30512 ",,"Dropbox is outside the Courthouse door, 24/7",34.8785249,-83.9606382
Upson,Elections Office,"305 S Hightower Street, Suite 130 Thomaston, GA 30286 ",,"Outdoor dropbox 24/7, also has an indoor dropbox",32.8869933,-84.3252617
Walker,Elections Office,"101 S. Duke street Lafayette, GA 30728 ",Note: This Dropbox may not be open 24/7,"Rear of building, brown box available 24/7",34.7048823,-85.2804317
Walton,Elections Office,"1110 E. Spring Street Monroe, GA 30655 ",,24-7,33.8017283,-83.6987814
Ware,Ware County Elections office,"408 Tebeau Street Waycross, GA 31501 ",,24/7,31.2112585,-82.3608734
Ware,County Administration Building,"305 Oak Street Waycross, GA 31501 ",,"In rear of building, 24/7",31.2152934,-82.3560358
Warren,,"48 Warren St Warrenton, GA 30828 ",Note: This Dropbox may not be open 24/7,Drop off in person during business hours,33.4080089,-82.6618624
Washington,,"132 W. Haynes St, Room 108 Sandersville, GA 31082 ",Note: This Dropbox may not be open 24/7,Physical drop off only M-F 8am-5pm,32.98348,-82.8115868
Wayne,Registrar's office (inside County Courthouse),"174 N. Brunswick Jesup, GA 31598 ",Note: This Dropbox may not be open 24/7,"Dropoff in office M-F, 8-5",31.6040932,-81.8799255
Wayne,Screven City Hall,"103 W JL Tyre Street Screven, GA 31560 ",,24/7,31.4872449,-82.0165437
Wayne,Odum City Hall,"217 S Church Street Odum, GA 31555 ",,24/7,31.6640181,-82.0287298
Webster,,"6622 Cass St. Preston, GA 31824 ",Note: This Dropbox may not be open 24/7,"hand deliver only, 8-4:30, M-F",32.0673047,-84.5368194
Wheeler,Elections Office,"16 W Forest Ave Alamo, GA 31634 ",,"Beside the door, outside, available 24/7",32.1487941,-82.7832068
White,Elections Office,"1241 Helen Hwy, Suite 210- A Cleveland, GA 30528 ",,"drop box slot is located on the back door of the voter registration office in the Mauney Building. Ballot can be put through slot at any time, also a freestanding dropbox next to the slot",34.6173796,-83.7548177
Whitfield,"Elections Office, Whitfield County Courthouse","205 N Selvidge St. Suite K Dalton, GA 30720 ",,"Small black Absentee Ballot Drop Box located in front, on the South Side of Entrance",34.7724498,-84.9711886
Wilcox,Elections Office (inside),"377 West College Street Abbeville, GA 31001 ",Note: This Dropbox may not be open 24/7,"M-F 8-5, bring ballots & applications inside - no plan to get a dropbox",31.9910406,-83.3133715
Wilkes,"Elections Office, Wilkes County Courthouse","23 Court Street, Room 113 Washington, GA 30673 ",,"freestanding dropbox just outside the courthouse, on left - see photo on website",33.7382247,-82.7390393
Wilkinson,Elections Office,"100 Bacon St., Room 133 Irwinton, GA 31042 ",,Freestanding black Dropbox on right side of courthouse,32.8107241,-83.1739023
Worth,,"201 North Main Street, Room 10 Sylvester, GA 31791 ",Note: This Dropbox may not be open 24/7,"Freestanding black Dropbox on flagpole (north) side of courthouse, near one of two double doors, before you get to the jail",31.5279022,-83.8361158
